varenummer;navn;pris;poengsum;poeng_per_pris
7371701;Palladino Nebbiolo d'Alba 2023;329.0;87;0.2644
5324901;Ch. du Cèdre Cahors 2022;281.2;86;0.3058
20357801;A. Brumont Torus Madiran 2022;226.9;86;0.379
20341101;Wither Hills Marlborough Pinot Noir 2025;200.9;84;0.4181
20302901;Colomé El Camino Tannat 2024;349.9;;
20290601;Puelles Tempranillo 2023;219.0;83;0.379
20254001;Camigliano Rosso di Montalcino 2024;289.9;87;0.3001
20133801;Peña el Gato Garnacha 2022;340.8;83;0.2435
18736001;Sierra de Toloño Tempranillo 2023;234.9;86;0.3661
13692901;Bread & Butter Cabernet Sauvignon;259.0;71;0.2741
20061801;Moraine Pinot Noir 2022;337.0;85;0.2522
5077101;Jean-Paul Brun L'Ancien Beaujolais 2024;269.9;87;0.3223
5922901;Michele Chiarlo Le Orme Barbera d'Asti Superiore 2023;269.9;86;0.3186
677601;Joseph Faiveley Bourgogne Pinot Noir 2023;349.9;88;0.2515
3463701;Ch. Coufran 2010;349.9;89;0.2544
3337001;Ch. Lafitte-Tramier 2015;349.9;88;0.2515
2246501;Terre Nere Etna Rosso 2024;349.9;89;0.2544
19910001;Donkiesbaai Cinsault 2023;349.9;86;0.2458
12800401;Lieu Dit Cabernet Franc 2023;349.9;89;0.2544
19623601;David Givaudan Saint Joseph 2024;349.9;84;0.2401
19866701;Jean-Claude Boisset Bourgogne Hautes-Côtes de Nuits Dames Huguettes 2023;349.9;83;0.2372
19396201;Dancing Water Artist Series Pinot Noir 2024;345.9;85;0.2457
11441201;Thymiopoulos Terre Et Ciel Xinomavro 2023;349.0;89;0.255
20251801;Timo Mayer Bloody Hill Pinot Noir 2024;349.9;;
4399301;Seghesio Sonoma Zinfandel 2023;329.9;89;0.2698
2883601;Fenocchio Barbaresco;344.9;86;0.2493
3203301;Guigal Gigondas 2021;339.9;87;0.256
4514001;Dom. du Vieux Lazaret Châteauneuf-du-Pape 2024;339.9;87;0.256
9494401;Cavas de Weinert Gran Vino 2012;339.9;88;0.2589
5121301;Contino Reserva 2021;334.9;92;0.2747
17475301;Helen & Joey Alena Yarra Valley Shiraz 2022;339.9;89;0.2618
19267301;Nestor Gallus Central Otago Pinot Noir 2024;314.9;86;0.2731
18684801;Costers del Priorat Rocafosca 2022;334.9;88;0.2628
5873201;Occhipinti SP 68 Rosso 2025;329.9;89;0.2698
5117501;Foillard Morgon 2023;319.9;89;0.2782
5961401;Emilio Moro 2022;325.0;87;0.2677
12024301;Filipa Pato Post Quer..s Baga 2024;335.0;89;0.2657
14190401;Dom. La Suffrene Bandol;329.9;89;0.2698
15056801;Landerer Oberrotweiler Schwarze Erde Pinot Noir 2023;329.9;87;0.2637
2852501;Ca'Vendri Amarone della Valpolicella 2023;329.9;84;0.2546
3098901;Muga Reserva 2022;329.9;89;0.2698
3278801;Fontodi Chianti Classico 2022;329.9;87;0.2637
9390701;Ch. Brun 2020;324.9;86;0.2647
3171201;Louis Jadot Bourgogne Couvent des Jacobins Pinot Noir 2023;324.9;87;0.2678
9965601;Chacra Barda Pinot Noir 2025;319.9;88;0.2751
11232501;Land of Saints San Luis Obispo Pinot Noir 2023;319.9;85;0.2657
1991101;Viña Cubillo Crianza 2018;319.9;89;0.2782
