varenummer;navn;varetype;pris;rangering;kommentar
20128801;Saam The Collaboration Series Pinotage 2024;Rødvin;Kr 189,90;;
20058201;Maxime Brunel de la Gardine Côtes du Rhône 2023;Rødvin;Kr 169,90;;
17056801;Ch. de Nages Héritage Rouge 2022;Rødvin;Kr 199,00;;
12798601;Cazes Samso 2025;Rødvin;Kr 169,90;;
12143301;Gianni Tessari Veneto Pinot Noir 2024;Rødvin;Kr 179,50;;
10788601;Bela Ribera del Duero;Rødvin;Kr 184,90;;
19928501;Kleine Zalze Vineyard Selction Grenache 2025;Rødvin;Kr 194,50;;
1861001;Alain Jaume Côtes du Rhône Grand Veneur Rouge;Rødvin;Kr 189,90;;
14660001;Ricossa Langhe Nebbiolo 2023;Rødvin;Kr 189,90;;
1438101;Santa Margarita Casa Vital Roble;Rødvin;Kr 188,40;;
13159501;Pelassa Langhe Rosso 2023;Rødvin;Kr 174,90;;
11312001;Enzo Bartoli Langhe Nebbiolo;Rødvin;Kr 175,00;;
3324101;Trénel Beaujolais Cuvée Rochebonne 2024;Rødvin;Kr 189,90;;
1986701;Campillo El Niño 2023;Rødvin;Kr 169,90;;
19698501;Terra by Osvaldo Amado Bairrada Baga 2023;Rødvin;Kr 159,90;;
3044301;Santa Tresa Rina Russa Frappato 2025;Rødvin;Kr 179,90;;
19575301;Dom Brial Las Coumeilles 2024;Rødvin;Kr 179,90;;
19396301;Grati Rosso di Toscana 2024;Rødvin;Kr 159,00;;
11101501;Parajes del Valle Monastrell 2024;Rødvin;Kr 181,80;;
19074701;Ch. Liversan 2017;Rødvin;Kr 189,90;;
19030401;Vie d'Alt Cabernet Franc 2023;Rødvin;Kr 189,90;;
18729301;P. A. Larsen Rioja 2022;Rødvin;Kr 174,90;;
4806401;Alvaro Castro Dão Tinto 2023;Rødvin;Kr 179,90;;
18964001;Wisdom Tree Palhete 2024;Rødvin;Kr 196,50;;
15184601;Piero Martinelli Barbera d'Asti Superiore;Rødvin;Kr 159,90;;
15124401;Les Deux Chevaliers Pinot Noir;Rødvin;Kr 154,90;;
3884001;Principiano Piemonte Barbera 2023;Rødvin;Kr 169,90;;
2147101;Villa Wolf Pinot Noir 2023;Rødvin;Kr 174,90;;
10893301;Cuvée Dissenay Pinot Noir 2024;Rødvin;Kr 164,90;;
12577901;PdN Prugneto Sangiovese Superiore;Rødvin;Kr 175,90;;
4023801;Perrin Côtes du Rhône Réserve 2023;Rødvin;Kr 189,90;;
7902201;Gran Passione 2024;Rødvin;Kr 164,90;;
2065101;Matsu El Picaro 2024;Rødvin;Kr 184,80;;
15119001;Cape Fynbos Wild Bouquet Shiraz 2024;Rødvin;Kr 159,90;;
15477701;Dezzani La Vecchia Via 2023;Rødvin;Kr 150,00;;
11186901;Castelmondo Ripasso Superiore;Rødvin;Kr 173,90;;
344401;Campo Viejo Reserva 2018;Rødvin;Kr 169,90;;
14386801;Baglio Onuri Nerello Mascalese;Rødvin;Kr 179,90;;
7857701;1000 Stories Bourbon Barrel Aged Zinfandel 2023;Rødvin;Kr 184,90;;
13710301;Kosevin 2024;Rødvin;Kr 159,90;;
6861801;Brunel de la Gardine Côtes du Rhône 2023;Rødvin;Kr 185,00;;
7811601;Mommessin Beaujolais-Villages 2024;Rødvin;Kr 197,90;;
7749201;Kompis Barbera d'Alba Superiore 2022;Rødvin;Kr 199,00;;
3017801;Penfolds Koonunga Hill Shiraz Cabernet 2024;Rødvin;Kr 154,70;;
12167501;Maire Grand Minéral Côtes du Jura Pinot Noir 2023;Rødvin;Kr 194,90;;
5219901;Antiche Terre Valpolicella 2025;Rødvin;Kr 150,00;;
7845701;Redtree Pinot Noir 2023;Rødvin;Kr 169,90;;
11713501;Jean Vullien Savoie Gamay 2024;Rødvin;Kr 189,90;;
10614501;Casteloro Valpolicella Ripasso Superiore;Rødvin;Kr 169,90;;
11983301;Le Cedre de Beyrouth 2022;Rødvin;Kr 169,90;;
11470101;Moillard Coteaux Bourguignons 2024;Rødvin;Kr 159,90;;
5260201;Trivento Golden Reserve Malbec 2023;Rødvin;Kr 179,90;;
9928901;Casa Ferreirinha Vinha Grande 2023;Rødvin;Kr 184,90;;
1556901;Barone Ricasoli Chianti;Rødvin;Kr 174,90;;
11207801;Luzón Verdecillo Monastrell 2025;Rødvin;Kr 179,70;;
11267401;Bonpas Ventoux Grande Réserve des Challières;Rødvin;Kr 152,90;;
8136501;Ch. Kefraya Bretèches 2022;Rødvin;Kr 169,90;;
5472401;Cant. di Ora Amicale Veneto Rosso 2020;Rødvin;Kr 164,90;;
10264601;Casa Cavallo 2019;Rødvin;Kr 159,90;;
5665701;Filicheto Vino Nobile di Montepulciano 2021;Rødvin;Kr 179,90;;
7771201;Ch. Rioublanc 2020;Rødvin;Kr 189,90;;
7813601;19 Crimes The Banished Dark Red 2024;Rødvin;Kr 156,90;;
5496501;Aroa Le Naturel Tinto 2024;Rødvin;Kr 168,50;;
5849801;Tombacco Aglianico del Beneventano;Rødvin;Kr 189,90;;
5945401;Giovanni Barcelli Barbera 2025;Rødvin;Kr 159,90;;
371301;Lagunilla Reserva 2018;Rødvin;Kr 159,90;;
3596801;Santero Dilé Barbera d'Asti 2023;Rødvin;Kr 179,00;;
3972701;Marco Pontarelli Barbera 2024;Rødvin;Kr 174,90;;
1208701;Pietro di Campo Silenzio Barbera 2024;Rødvin;Kr 161,90;;
1788401;Carpineto Dogajolo Rosso 2022;Rødvin;Kr 162,90;;
2200601;Cant. Povero Giovane Barbera d'Alba 2024;Rødvin;Kr 154,90;;
9040301;Casalforte Valpolicella Ripasso 2023;Rødvin;Kr 159,90;;
857701;Ch. Dudon 2020;Rødvin;Kr 179,90;;
5869101;Antiche Terre Valpolicella Ripasso Superiore 2022;Rødvin;Kr 189,90;;
106801;Barone Montalto Passivento;Rødvin;Kr 157,90;;
8053901;Matua Marlborough Pinot Noir 2023;Rødvin;Kr 159,90;;
380601;Cantarini Barbera d'Alba 2023;Rødvin;Kr 162,90;;
9151601;Tommasi Graticcio Appassionato 2022;Rødvin;Kr 171,90;;
9896001;Séminaire Côtes du Rhône 2024;Rødvin;Kr 169,90;;
9896201;Vinetti de Fiorini Chianti 2022;Rødvin;Kr 179,90;;
1571101;Giacosa Frat. Barb d'Alba Busije 2024;Rødvin;Kr 196,90;;
5312101;Wongraven Alleanza Langhe Rosso 2024;Rødvin;Kr 189,90;;
5220001;Antiche Terre Valpolicella Ripasso 2022;Rødvin;Kr 169,90;;
5705701;Cune Crianza 2021;Rødvin;Kr 159,90;;
5526401;Monastier Cabernet Sauvignon 2024;Rødvin;Kr 159,90;;
1571001;Dal Nostro Giardino Barbera d'Asti 2022;Rødvin;Kr 162,90;;
4526901;Niepoort Fabelaktig Douro 2023;Rødvin;Kr 174,90;;
4531201;Vespa Barbera d'Asti;Rødvin;Kr 162,90;;
4807601;Dom. André Brunel Côtes du Rhône Cuvée Sommelongue 2024;Rødvin;Kr 194,90;;
4288101;Yellow Tail Shiraz 2024;Rødvin;Kr 159,90;;
4440401;André Brunel CDR Côtes du Rhône;Rødvin;Kr 154,90;;
4446501;Saladini Pilastri Rosso Piceno 2024;Rødvin;Kr 154,90;;
358301;Villa Borghetti Valpolicella Classico 2024;Rødvin;Kr 162,90;;
4027601;Alamos Cabernet Sauvignon 2025;Rødvin;Kr 164,90;;
4182301;Masi Passo Doble 2023;Rødvin;Kr 152,90;;
3123601;Vajra Langhe Rosso 2024;Rødvin;Kr 159,90;;
333901;Masi Campofiorin 2022;Rødvin;Kr 179,90;;
3438701;Odfjell Armador Cabernet Sauvignon 2024;Rødvin;Kr 166,90;;
177701;Gran Coronas Reserva 2021;Rødvin;Kr 169,90;;
2000601;Corte Giara Valpolicella Ripasso La Groletta 2023;Rødvin;Kr 189,00;;
3053301;Tommasi Valpolicella 2024;Rødvin;Kr 195,00;;
1303101;Rioja Vega Crianza 2022;Rødvin;Kr 150,00;;
139301;Faustino VII 2023;Rødvin;Kr 154,90;;
1471601;Giordano Primitivo di Manduria 2022;Rødvin;Kr 164,90;;
4992201;Carussin Asinoi Barbera d'Asti 2024;Rødvin;Kr 169,90;;
4196401;Carretta Barbera d'Alba 2024;Rødvin;Kr 174,90;;
5578701;Periquita Reserva 2023;Rødvin;Kr 154,90;;
4027701;Alamos Malbec 2025;Rødvin;Kr 159,90;;
4513001;Zaccagnini Montepulciano d'Abruzzo 2024;Rødvin;Kr 179,90;;
684801;Gran Feudo Reserva 2021;Rødvin;Kr 164,90;;
3327501;Castello di Farnetella Chianti Colli Senesi 2023;Rødvin;Kr 176,90;;
3455201;El Coto Crianza 2022;Rødvin;Kr 169,90;;
3460701;Domìni Veneti Valpolicella Classico Superiore 2023;Rødvin;Kr 150,00;;
137201;Marqués de Cáceres Crianza 2022;Rødvin;Kr 154,90;;
1469801;Allesverloren Tinta Barocca;Rødvin;Kr 184,90;;
3072601;La Vieille Ferme Rouge 2024;Rødvin;Kr 154,90;;
4583801;Cavalchina Bardolino;Rødvin;Kr 155,90;;
4235501;Campolieti Valpolicella Ripasso Classico Superiore;Rødvin;Kr 177,90;;
5506601;Allegrini Valpolicella Classico 2024;Rødvin;Kr 170,00;;
3241501;Dom. de la Janasse Côtes du Rhône 2023;Rødvin;Kr 189,90;;
12357301;Wynns Coonawarra Shiraz 2024;Rødvin;Kr 164,90;;
