varenummer;navn;varetype;pris;rangering;kommentar
7371701;Palladino Nebbiolo d'Alba 2023;Rødvin;Kr 329,00;;
5324901;Ch. du Cèdre Cahors 2022;Rødvin;Kr 281,20;;
20357801;A. Brumont Torus Madiran 2022;Rødvin;Kr 226,90;;
20341101;Wither Hills Marlborough Pinot Noir 2025;Rødvin;Kr 200,90;;
20302901;Colomé El Camino Tannat 2024;Rødvin;Kr 349,90;;
20290601;Puelles Tempranillo 2023;Rødvin;Kr 219,00;;
20254001;Camigliano Rosso di Montalcino 2024;Rødvin;Kr 289,90;;
20133801;Peña el Gato Garnacha 2022;Rødvin;Kr 340,80;;
18736001;Sierra de Toloño Tempranillo 2023;Rødvin;Kr 234,90;;
13692901;Bread & Butter Cabernet Sauvignon;Rødvin;Kr 259,00;;
20128801;Saam The Collaboration Series Pinotage 2024;Rødvin;Kr 189,90;;
20061801;Moraine Pinot Noir 2022;Rødvin;Kr 337,00;;
5077101;Jean-Paul Brun L'Ancien Beaujolais 2023;Rødvin;Kr 269,90;;
5922901;Michele Chiarlo Le Orme Barbera d'Asti Superiore 2023;Rødvin;Kr 269,90;;
5541402;Louis Latour Bourgogne Pinot Noir 2023;Rødvin;Kr 164,90;;
