varenummer,navn,pris,poengsum,poeng_per_pris,,,
7771201,Ch. Rioublanc 2020,189.9,88,0.4634,,,https://www.vinmonopolet.no/search?q=7771201%3Arelevance
12798601,Cazes Samso 2025,169.9,87,0.5121,,x,https://www.vinmonopolet.no/search?q=12798601%3Arelevance
18729301,P. A. Larsen Rioja 2022,174.9,87,0.4974,,,https://www.vinmonopolet.no/search?q=18729301%3Arelevance
4806401,Alvaro Castro Dão Tinto 2023,179.9,87,0.4836,,,https://www.vinmonopolet.no/search?q=4806401%3Arelevance
18964001,Wisdom Tree Palhete 2024,196.5,87,0.4427,,,https://www.vinmonopolet.no/search?q=18964001%3Arelevance
2065101,Matsu El Picaro 2024,184.8,87,0.4708,,,https://www.vinmonopolet.no/search?q=2065101%3Arelevance
15119001,Cape Fynbos Wild Bouquet Shiraz 2024,159.9,87,0.5441,,,https://www.vinmonopolet.no/search?q=15119001%3Arelevance
6861801,Brunel de la Gardine Côtes du Rhône 2023,185,87,0.4703,,,https://www.vinmonopolet.no/search?q=6861801%3Arelevance
1469801,Allesverloren Tinta Barocca,184.9,87,0.4705,,,https://www.vinmonopolet.no/search?q=1469801%3Arelevance
11101501,Parajes del Valle Monastrell 2024,181.8,86,0.473,,,https://www.vinmonopolet.no/search?q=11101501%3Arelevance
3884001,Principiano Piemonte Barbera 2023,169.9,86,0.5062,,,https://www.vinmonopolet.no/search?q=3884001%3Arelevance
4023801,Perrin Côtes du Rhône Réserve 2023,189.9,86,0.4529,,,https://www.vinmonopolet.no/search?q=4023801%3Arelevance
5496501,Aroa Le Naturel Tinto 2024,168.5,86,0.5104,,,https://www.vinmonopolet.no/search?q=5496501%3Arelevance
5849801,Tombacco Aglianico del Beneventano,189.9,86,0.4529,,,https://www.vinmonopolet.no/search?q=5849801%3Arelevance
177701,Gran Coronas Reserva 2021,169.9,86,0.5062,,,https://www.vinmonopolet.no/search?q=177701%3Arelevance
3327501,Castello di Farnetella Chianti Colli Senesi 2023,176.9,86,0.4862,,,https://www.vinmonopolet.no/search?q=3327501%3Arelevance
12357301,Wynns Coonawarra Shiraz 2024,164.9,86,0.5215,,,https://www.vinmonopolet.no/search?q=12357301%3Arelevance
17056801,Ch. de Nages Héritage Rouge 2022,199,85,0.4271,,,https://www.vinmonopolet.no/search?q=17056801%3Arelevance
10788601,Bela Ribera del Duero,184.9,85,0.4597,,,https://www.vinmonopolet.no/search?q=10788601%3Arelevance
1986701,Campillo El Niño 2023,169.9,85,0.5003,,,https://www.vinmonopolet.no/search?q=1986701%3Arelevance
19698501,Terra by Osvaldo Amado Bairrada Baga 2023,159.9,85,0.5316,,,https://www.vinmonopolet.no/search?q=19698501%3Arelevance
19575301,Dom Brial Las Coumeilles 2024,179.9,85,0.4725,,,https://www.vinmonopolet.no/search?q=19575301%3Arelevance
19030401,Vie d'Alt Cabernet Franc 2023,189.9,85,0.4476,,,https://www.vinmonopolet.no/search?q=19030401%3Arelevance
15477701,Dezzani La Vecchia Via 2023,150,85,0.5667,,,https://www.vinmonopolet.no/search?q=15477701%3Arelevance
3017801,Penfolds Koonunga Hill Shiraz Cabernet 2024,154.7,85,0.5495,,,
12167501,Maire Grand Minéral Côtes du Jura Pinot Noir 2023,194.9,85,0.4361,,,
11713501,Jean Vullien Savoie Gamay 2024,189.9,85,0.4476,,,
11983301,Le Cedre de Beyrouth 2022,169.9,85,0.5003,,,
9928901,Casa Ferreirinha Vinha Grande 2023,184.9,85,0.4597,,,
1556901,Barone Ricasoli Chianti,174.9,85,0.486,,,
