varenummer,navn,pris,poengsum,poeng_per_pris
15477701,Dezzani La Vecchia Via 2023,150,85,0.57
1303101,Rioja Vega Crianza 2022,150,84,0.56
3017801,Penfolds Koonunga Hill Shiraz Cabernet 2024,154.7,85,0.55
4446501,Saladini Pilastri Rosso Piceno 2024,154.9,85,0.55
15119001,Cape Fynbos Wild Bouquet Shiraz 2024,159.9,87,0.54
4182301,Masi Passo Doble 2023,152.9,82,0.54
19698501,Terra by Osvaldo Amado Bairrada Baga 2023,159.9,85,0.53
5705701,Cune Crianza 2021,159.9,85,0.53
10264601,Casa Cavallo 2019,159.9,84,0.53
3123601,Vajra Langhe Rosso 2024,159.9,84,0.53
139301,Faustino VII 2023,154.9,82,0.53
137201,Marqués de Cáceres Crianza 2022,154.9,82,0.53
3072601,La Vieille Ferme Rouge 2024,154.9,82,0.53
12357301,Wynns Coonawarra Shiraz 2024,164.9,86,0.52
1788401,Carpineto Dogajolo Rosso 2022,162.9,85,0.52
4531201,Vespa Barbera d'Asti,162.9,84,0.52
8053901,Matua Marlborough Pinot Noir 2023,159.9,83,0.52
19396301,Grati Rosso di Toscana 2024,159,82,0.52
2200601,Cant. Povero Giovane Barbera d'Alba 2024,154.9,81,0.52
4583801,Cavalchina Bardolino,155.9,81,0.52
11267401,Bonpas Ventoux Grande Réserve des Challières,152.9,80,0.52
4440401,André Brunel CDR Côtes du Rhône,154.9,80,0.52
3460701,Domìni Veneti Valpolicella Classico Superiore 2023,150,78,0.52
12798601,Cazes Samso 2025,169.9,87,0.51
3884001,Principiano Piemonte Barbera 2023,169.9,86,0.51
5496501,Aroa Le Naturel Tinto 2024,168.5,86,0.51
177701,Gran Coronas Reserva 2021,169.9,86,0.51
684801,Gran Feudo Reserva 2021,164.9,84,0.51
13710301,Kosevin 2024,159.9,82,0.51
11470101,Moillard Coteaux Bourguignons 2024,159.9,82,0.51
371301,Lagunilla Reserva 2018,159.9,82,0.51
1208701,Pietro di Campo Silenzio Barbera 2024,161.9,82,0.51
4027701,Alamos Malbec 2025,159.9,81,0.51
5578701,Periquita Reserva 2023,154.9,79,0.51
18729301,P. A. Larsen Rioja 2022,174.9,87,0.5
1986701,Campillo El Niño 2023,169.9,85,0.5
11983301,Le Cedre de Beyrouth 2022,169.9,85,0.5
8136501,Ch. Kefraya Bretèches 2022,169.9,85,0.5
4992201,Carussin Asinoi Barbera d'Asti 2024,169.9,85,0.5
3438701,Odfjell Armador Cabernet Sauvignon 2024,166.9,83,0.5
358301,Villa Borghetti Valpolicella Classico 2024,162.9,82,0.5
4027601,Alamos Cabernet Sauvignon 2025,164.9,82,0.5
15184601,Piero Martinelli Barbera d'Asti Superiore,159.9,80,0.5
15124401,Les Deux Chevaliers Pinot Noir,154.9,77,0.5
3327501,Castello di Farnetella Chianti Colli Senesi 2023,176.9,86,0.49
1556901,Barone Ricasoli Chianti,174.9,85,0.49
4526901,Niepoort Fabelaktig Douro 2023,174.9,85,0.49
4196401,Carretta Barbera d'Alba 2024,174.9,85,0.49
9896001,Séminaire Côtes du Rhône 2024,169.9,84,0.49
20058201,Maxime Brunel de la Gardine Côtes du Rhône 2023,169.9,83,0.49
1471601,Giordano Primitivo di Manduria 2022,164.9,81,0.49
10893301,Cuvée Dissenay Pinot Noir 2024,164.9,80,0.49
9040301,Casalforte Valpolicella Ripasso 2023,159.9,79,0.49
5526401,Monastier Cabernet Sauvignon 2024,159.9,78,0.49
5219901,Antiche Terre Valpolicella 2025,150,73,0.49
4806401,Alvaro Castro Dão Tinto 2023,179.9,87,0.48
5506601,Allegrini Valpolicella Classico 2024,170,82,0.48
7845701,Redtree Pinot Noir 2023,169.9,81,0.48
2065101,Matsu El Picaro 2024,184.8,87,0.47
6861801,Brunel de la Gardine Côtes du Rhône 2023,185,87,0.47
1469801,Allesverloren Tinta Barocca,184.9,87,0.47
11101501,Parajes del Valle Monastrell 2024,181.8,86,0.47
19575301,Dom Brial Las Coumeilles 2024,179.9,85,0.47
333901,Masi Campofiorin 2022,179.9,85,0.47
13159501,Pelassa Langhe Rosso 2023,174.9,82,0.47
12577901,PdN Prugneto Sangiovese Superiore,175.9,82,0.47
5472401,Cant. di Ora Amicale Veneto Rosso 2020,164.9,77,0.47
380601,Cantarini Barbera d'Alba 2023,162.9,77,0.47
1571001,Dal Nostro Giardino Barbera d'Asti 2022,162.9,77,0.47
106801,Barone Montalto Passivento,157.9,75,0.47
7813601,19 Crimes The Banished Dark Red 2024,156.9,74,0.47
17123501,Casa Volpi Vino Rosso 2023,154.9,73,0.47
7771201,Ch. Rioublanc 2020,189.9,88,0.46
10788601,Bela Ribera del Duero,184.9,85,0.46
9928901,Casa Ferreirinha Vinha Grande 2023,184.9,85,0.46
3044301,Santa Tresa Rina Russa Frappato 2025,179.9,83,0.46
11207801,Luzón Verdecillo Monastrell 2025,179.7,83,0.46
3596801,Santero Dilé Barbera d'Asti 2023,179,83,0.46
857701,Ch. Dudon 2020,179.9,83,0.46
2147101,Villa Wolf Pinot Noir 2023,174.9,80,0.46
344401,Campo Viejo Reserva 2018,169.9,79,0.46
5220001,Antiche Terre Valpolicella Ripasso 2022,169.9,78,0.46
3455201,El Coto Crianza 2022,169.9,78,0.46
5945401,Giovanni Barcelli Barbera 2025,159.9,74,0.46
4023801,Perrin Côtes du Rhône Réserve 2023,189.9,86,0.45
5849801,Tombacco Aglianico del Beneventano,189.9,86,0.45
19030401,Vie d'Alt Cabernet Franc 2023,189.9,85,0.45
11713501,Jean Vullien Savoie Gamay 2024,189.9,85,0.45
5312101,Wongraven Alleanza Langhe Rosso 2024,189.9,85,0.45
3241501,Dom. de la Janasse Côtes du Rhône 2023,189.9,85,0.45
14386801,Baglio Onuri Nerello Mascalese,179.9,81,0.45
4513001,Zaccagnini Montepulciano d'Abruzzo 2024,179.9,81,0.45
11312001,Enzo Bartoli Langhe Nebbiolo,175,78,0.45
3972701,Marco Pontarelli Barbera 2024,174.9,78,0.45
10614501,Casteloro Valpolicella Ripasso Superiore,169.9,76,0.45
18964001,Wisdom Tree Palhete 2024,196.5,87,0.44
12167501,Maire Grand Minéral Côtes du Jura Pinot Noir 2023,194.9,85,0.44
1861001,Alain Jaume Côtes du Rhône Grand Veneur Rouge,189.9,84,0.44
1438101,Santa Margarita Casa Vital Roble,188.4,82,0.44
5260201,Trivento Golden Reserve Malbec 2023,179.9,79,0.44
11186901,Castelmondo Ripasso Superiore,173.9,76,0.44
7902201,Gran Passione 2024,164.9,72,0.44
4288101,Yellow Tail Shiraz 2024,159.9,70,0.44
17056801,Ch. de Nages Héritage Rouge 2022,199,85,0.43
19928501,Kleine Zalze Vineyard Selction Grenache 2025,194.5,84,0.43
3324101,Trénel Beaujolais Cuvée Rochebonne 2024,189.9,82,0.43
5665701,Filicheto Vino Nobile di Montepulciano 2021,179.9,78,0.43
7811601,Mommessin Beaujolais-Villages 2024,197.9,83,0.42
1571101,Giacosa Frat. Barb d'Alba Busije 2024,196.9,83,0.42
4807601,Dom. André Brunel Côtes du Rhône Cuvée Sommelongue 2024,194.9,82,0.42
12143301,Gianni Tessari Veneto Pinot Noir 2024,179.5,76,0.42
3053301,Tommasi Valpolicella 2024,195,79,0.41
5869101,Antiche Terre Valpolicella Ripasso Superiore 2022,189.9,78,0.41
20128801,Saam The Collaboration Series Pinotage 2024,189.9,77,0.41
2000601,Corte Giara Valpolicella Ripasso La Groletta 2023,189,77,0.41
9896201,Vinetti de Fiorini Chianti 2022,179.9,74,0.41
14660001,Ricossa Langhe Nebbiolo 2023,189.9,76,0.4
4235501,Campolieti Valpolicella Ripasso Classico Superiore,177.9,72,0.4
7749201,Kompis Barbera d'Alba Superiore 2022,199,78,0.39
7857701,1000 Stories Bourbon Barrel Aged Zinfandel 2023,184.9,73,0.39
19074701,Ch. Liversan 2017,189.9,,
9151601,Tommasi Graticcio Appassionato 2022,171.9,,
